,index,Unnamed: 0,Total Demand,Change in Demand,Price Surge,Minimum Temperature (Â°C),Maximum Temperature (Â°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of Maximum Wind Gust (km/h),9am Temperature (Â°C),9am Relative Humidity (%),9am Cloud Amount (oktas),9am Wind Speed (km/h),3pm Temperature (Â°C),3pm Relative Humidity (%),3pm Cloud Amount (oktas),3pm Wind Speed (km/h)
2,-0.18472283579570728,-0.18472283579570728,1.0,0.737692100260399,-2,-0.3434150521046967,-0.4375940225823344,0.0714222718161394,-0.14986523893414855,-0.24917209188575418,-0.03213005670581046,-0.4354843033920074,0.1901509948315516,0.04845583350518095,0.040525462985253766,-0.3826874786002627,0.15925430472420107,0.12392005473647527,-0.17210245156423515
3,-0.10647133858586401,-0.10647133858586401,0.737692100260399,1.0,-2,-0.30092180727521445,-0.33598727806833895,-0.02244262195925152,-0.088781679299095,-0.17453376940264403,-0.04053212510258316,-0.35649702994867427,0.09729370080224974,0.05300498588547815,0.015859665454124663,-0.2885580212534242,0.04414674756610163,0.13949821296352244,-0.1533690747253768
4,-2.0,-2.0,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
5,0.2945558158964511,0.2945558158964511,-0.3434150521046967,-0.30092180727521445,-2,1.0,0.7225509916655867,0.22628075997378722,0.20782115385671626,-0.14216316508095708,0.13858500249091255,0.9352635689209213,0.28134915751158324,0.3966630214664724,-0.2068521429235001,0.6805240175146041,0.4056666445156492,0.2806936672062959,0.16800531102516675
6,0.2271893497060462,0.2271893497060462,-0.4375940225823344,-0.33598727806833895,-2,0.7225509916655867,1.0,-0.04744999750615148,0.14854009916472494,0.3586606638115538,-0.03427929681342313,0.8041400634942738,0.09969815300165298,-0.007751486155599958,-0.37932941343778864,0.9577630686209283,-0.08457455760760679,-0.11291099696862945,0.0767589485975297
7,0.11788474585936083,0.11788474585936083,0.0714222718161394,-0.02244262195925152,-2,0.22628075997378722,-0.04744999750615148,0.9999999999999998,0.013496021460966599,-0.36761530257129843,0.29296092808780905,0.13810713941370723,0.344846256610695,0.30682459456768013,0.1458148752348901,-0.06854506596164175,0.43573228367901445,0.3152966072823507,0.053078203869085176
8,0.09660119382233587,0.09660119382233587,-0.14986523893414855,-0.088781679299095,-2,0.20782115385671626,0.14854009916472494,0.013496021460966599,0.9999999999999997,-0.0007142938130639202,0.1371098260829779,0.213976936874782,-0.10119603056163744,0.09112522142619774,-0.00524118359166014,0.13194668047217986,0.01688896030784675,0.05505442788857781,0.14563701309080843
9,-0.056819311328072976,-0.056819311328072976,-0.24917209188575418,-0.17453376940264403,-2,-0.14216316508095708,0.3586606638115538,-0.36761530257129843,-0.0007142938130639202,1.0,-0.10729522911816024,-0.00486055760805635,-0.29682172013348485,-0.7167514404264723,-0.1668084038023965,0.4105679494515407,-0.649974636197229,-0.768404395459615,0.11238923977801214
10,0.08236717911756679,0.08236717911756679,-0.03213005670581046,-0.04053212510258316,-2,0.13858500249091255,-0.03427929681342313,0.29296092808780905,0.1371098260829779,-0.10729522911816024,0.9999999999999999,0.1323570586638241,-0.2508279723562311,0.11969064976389332,0.3028611652514981,-0.02773228849979673,-0.06469231279561284,0.0931106685664952,0.5954641784676549
11,0.32805719955413537,0.32805719955413537,-0.4354843033920074,-0.35649702994867427,-2,0.9352635689209213,0.8041400634942738,0.13810713941370723,0.213976936874782,-0.00486055760805635,0.1323570586638241,1.0,0.06952184134257021,0.27006659567185387,-0.23021875485391774,0.7476002641989099,0.27085324061916527,0.19992744467290127,0.19887781040783656
12,0.002639251273677532,0.002639251273677532,0.1901509948315516,0.09729370080224974,-2,0.28134915751158324,0.09969815300165298,0.344846256610695,-0.10119603056163744,-0.29682172013348485,-0.2508279723562311,0.06952184134257021,1.0,0.3454478147422754,-0.163947284931927,0.11900683758710495,0.5781695673513803,0.26827310885790995,-0.2878660387860658
13,0.1338981908116164,0.1338981908116164,0.04845583350518095,0.05300498588547815,-2,0.3966630214664724,-0.007751486155599958,0.30682459456768013,0.09112522142619774,-0.7167514404264723,0.11969064976389332,0.27006659567185387,0.3454478147422754,0.9999999999999998,0.0005044770251557522,-0.04406942139731291,0.5671861628185271,0.639195880941107,-0.007316925763265605
14,-0.10832240207279725,-0.10832240207279725,0.040525462985253766,0.015859665454124663,-2,-0.2068521429235001,-0.37932941343778864,0.1458148752348901,-0.00524118359166014,-0.1668084038023965,0.3028611652514981,-0.23021875485391774,-0.163947284931927,0.0005044770251557522,0.9999999999999998,-0.3654415908126113,0.025919339646884514,0.04525597551088055,0.20908989442407339
15,0.19178785706331913,0.19178785706331913,-0.3826874786002627,-0.2885580212534242,-2,0.6805240175146041,0.9577630686209283,-0.06854506596164175,0.13194668047217986,0.4105679494515407,-0.02773228849979673,0.7476002641989099,0.11900683758710495,-0.04406942139731291,-0.3654415908126113,0.9999999999999999,-0.18074830512581078,-0.20860913925638477,0.11119869618384463
16,0.13749134229902119,0.13749134229902119,0.15925430472420107,0.04414674756610163,-2,0.4056666445156492,-0.08457455760760679,0.43573228367901445,0.01688896030784675,-0.649974636197229,-0.06469231279561284,0.27085324061916527,0.5781695673513803,0.5671861628185271,0.025919339646884514,-0.18074830512581078,1.0,0.609426320297226,-0.2301641889884249
17,0.1463371213870773,0.1463371213870773,0.12392005473647527,0.13949821296352244,-2,0.2806936672062959,-0.11291099696862945,0.3152966072823507,0.05505442788857781,-0.768404395459615,0.0931106685664952,0.19992744467290127,0.26827310885790995,0.639195880941107,0.04525597551088055,-0.20860913925638477,0.609426320297226,0.9999999999999997,-0.07081312351027745
18,0.09134570969260453,0.09134570969260453,-0.17210245156423515,-0.1533690747253768,-2,0.16800531102516675,0.0767589485975297,0.053078203869085176,0.14563701309080843,0.11238923977801214,0.5954641784676549,0.19887781040783656,-0.2878660387860658,-0.007316925763265605,0.20908989442407339,0.11119869618384463,-0.2301641889884249,-0.07081312351027745,1.0
